member_name,member_start_date,member_end_date,political_party,administrative_region,gender,roles,government_name
παπουλιας γρηγοριου καρολος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,['αναπληρωτης υπουργος εθνικης αμυνας(23/11/1989-13/02/1990)'],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
παπουλιας γρηγοριου καρολος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,[],"['ζολωτα ξενοφωντα(23/11/1989-11/04/1990)', 'μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)']"
παπουλιας γρηγοριου καρολος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,['υπουργος εξωτερικων(13/10/1993-22/01/1996)'],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
παπουλιας γρηγοριου καρολος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,[],"['σημιτη κωνσταντινου(22/01/1996-25/09/1996)', 'σημιτη κωνσταντινου(25/09/1996-13/04/2000)']"
παπουλιας γρηγοριου καρολος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,[],"['σημιτη κωνσταντινου(25/09/1996-13/04/2000)', 'σημιτη κωνσταντινου(13/04/2000-10/03/2004)']"
παπουτσης δημητριου χρηστος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male,['υπουργος εμπορικης ναυτιλιας(13/04/2000-24/10/2001)'],"['σημιτη κωνσταντινου(25/09/1996-13/04/2000)', 'σημιτη κωνσταντινου(13/04/2000-10/03/2004)']"
παπουτσης δημητριου χρηστος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male,[],"['σημιτη κωνσταντινου(13/04/2000-10/03/2004)', 'καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)']"
παπουτσης δημητριου χρηστος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male,[],"['καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)', 'καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)']"
παπουτσης δημητριου χρηστος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male,"['υπουργος προστασιας του πολιτη(09/07/2010-11/11/2011)', 'υπουργος προστασιας του πολιτη(11/11/2011-03/07/2012)']","['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
ασημακοπουλου δημητριου σοφια-χαιδω,2019-07-07,2020-07-25,ελληνικη λυση - κυριακος βελοπουλος,β' πειραιως,female,[],"['τσιπρα π. αλεξιου(21/09/2015-08/07/2019)', 'μητσοτακη κυριακου(08/07/2019-28/07/2020)']"
παπουτσης πασχαλη δημητριος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,καβαλας,male,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
παππας στυλιανου νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,['υπουργος επικρατειας(27/01/2015-27/08/2015)'],"['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)', 'τσιπρα π. αλεξιου(26/01/2015-27/08/2015)', 'θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)']"
παππας στυλιανου νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male,"['υπουργος ψηφιακης πολιτικης τηλεπικοινωνιων και ενημερωσης(11/05/2016-07/09/2019)', 'υπουργος επικρατειας(23/09/2015-11/05/2016)']","['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
παππας στυλιανου νικολαος,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,β3' νοτιου τομεα αθηνων,male,['υπουργος ψηφιακης πολιτικης τηλεπικοινωνιων και ενημερωσης(11/05/2016-07/09/2019)'],"['τσιπρα π. αλεξιου(21/09/2015-08/07/2019)', 'μητσοτακη κυριακου(08/07/2019-28/07/2020)']"
παππας ηλια χρηστος,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,επικρατειας,male,[],"['παπαδημου λουκα δ.(11/11/2011-17/05/2012)', 'πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)']"
παππας ηλια χρηστος,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,επικρατειας,male,[],"['πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)', 'σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']"
παππας ηλια χρηστος,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,επικρατειας,male,[],"['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)', 'τσιπρα π. αλεξιου(26/01/2015-27/08/2015)', 'θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)']"
παππας ηλια χρηστος,2015-09-20,2019-06-11,λαικος συνδεσμος - χρυση αυγη,επικρατειας,male,[],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
παππας κωνσταντινου ιωαννης,2012-05-06,2012-05-19,νεα δημοκρατια,δωδεκανησου,male,[],"['παπαδημου λουκα δ.(11/11/2011-17/05/2012)', 'πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)']"
παππας κωνσταντινου ιωαννης,2019-07-07,2020-07-25,νεα δημοκρατια,δωδεκανησου,male,[],"['τσιπρα π. αλεξιου(21/09/2015-08/07/2019)', 'μητσοτακη κυριακου(08/07/2019-28/07/2020)']"
παππας νικολαου βασιλειος,1996-09-22,2000-03-14,νεα δημοκρατια,χαλκιδικης,male,[],"['σημιτη κωνσταντινου(22/01/1996-25/09/1996)', 'σημιτη κωνσταντινου(25/09/1996-13/04/2000)']"
παππας νικολαου βασιλειος,2000-04-09,2004-02-11,νεα δημοκρατια,χαλκιδικης,male,[],"['σημιτη κωνσταντινου(25/09/1996-13/04/2000)', 'σημιτη κωνσταντινου(13/04/2000-10/03/2004)']"
παππας νικολαου βασιλειος,2004-03-07,2007-08-18,νεα δημοκρατια,χαλκιδικης,male,[],"['σημιτη κωνσταντινου(13/04/2000-10/03/2004)', 'καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)']"
παππας νικολαου βασιλειος,2007-09-16,2009-09-07,νεα δημοκρατια,χαλκιδικης,male,[],"['καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)', 'καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)']"
παρασκευας δημητριου ιωαννης,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,δωδεκανησου,male,[],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
