member_name,member_start_date,member_end_date,political_party,administrative_region,gender
μηταρακης αντωνιου παναγιωτης (νοτης),2015-09-20,2019-06-11,νεα δημοκρατια,χιου,male
μηταρακης αντωνιου παναγιωτης (νοτης),2019-07-07,2020-07-25,νεα δημοκρατια,χιου,male
μηταφιδης ανδρεα τριανταφυλλος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,male
μηταφιδης ανδρεα τριανταφυλλος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,male
μητρας παντελη θεοδωρος,1993-10-10,1996-08-24,νεα δημοκρατια,πιεριας,male
μητροπουλος παναγιωτη αλεξιος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male
μητροπουλος παναγιωτη αλεξιος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male
μητροπουλος παναγιωτη αλεξιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male
μητσοτακης κυριακου κωνσταντινος,1989-01-01,1989-06-02,νεα δημοκρατια,α' θεσσαλονικης,male
μητσοτακης κυριακου κωνσταντινος,1989-06-18,1989-10-12,νεα δημοκρατια,α' θεσσαλονικης,male
μητσοτακης κυριακου κωνσταντινος,1989-11-05,1990-03-12,νεα δημοκρατια,α' θεσσαλονικης,male
μητσοτακης κυριακου κωνσταντινος,1990-04-08,1993-09-11,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κυριακου κωνσταντινος,1993-10-10,1996-08-24,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κυριακου κωνσταντινος,1996-09-22,2000-03-14,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κυριακου κωνσταντινος,2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2015-01-25,2015-08-28,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2015-09-20,2019-06-11,νεα δημοκρατια,β' αθηνων,male
μητσοτακης κωνσταντινου κυριακος,2019-07-07,2020-07-25,νεα δημοκρατια,β2' δυτικου τομεα αθηνων,male
