member_name,role,role_start_date,role_end_date,gender
βασιλειος γερανιδης,υφυπουργος γεωργιας,25/09/1996,30/10/1998,male
βασιλειος διγαλακης,υφυπουργος παιδειας και θρησκευματων,09/07/2019,27/07/2020,male
βασιλειος κεγκερογλου,υφυπουργος εργασιας και κοινωνικης ασφαλισης,07/09/2010,17/06/2011,male
βασιλειος κεγκερογλου,υφυπουργος εργασιας κοινωνικης ασφαλισης και προνοιας,25/06/2013,27/01/2015,male
βασιλειος κικιλιας,υπουργος δημοσιας ταξης και προστασιας του πολιτη,10/06/2014,27/01/2015,male
βασιλειος κικιλιας,υπουργος υγειας,09/07/2019,27/07/2020,male
βασιλειος κοκκαλης,υφυπουργος αγροτικης αναπτυξης και τροφιμων,05/11/2016,09/07/2019,male
βασιλειος κοντογιαννοπουλος,υπουργος εθνικης παιδειας και θρησκευματων,02/07/1989,12/10/1989,male
βασιλειος κοντογιαννοπουλος,αναπληρωτης υπουργος εθνικης παιδειας και θρησκευματων,23/11/1989,13/02/1990,male
βασιλειος κοντογιαννοπουλος,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,03/12/1992,13/10/1993,male
βασιλειος κοντογιαννοπουλος,υπουργος εμποριου,03/12/1992,13/10/1993,male
βασιλειος κοντογιαννοπουλος,υπουργος εθνικης παιδειας και θρησκευματων,11/04/1990,10/01/1991,male
βασιλειος κοντογιαννοπουλος,υφυπουργος υγειας και προνοιας,07/07/2003,10/03/2004,male
βασιλειος κοντοζαμανης,υφυπουργος υγειας,09/07/2019,27/07/2020,male
βασιλειος μαγγινας,υπουργος απασχολησης και κοινωνικης προστασιας,30/04/2007,19/09/2007,male
βασιλειος μαγγινας,υπουργος απασχολησης και κοινωνικης προστασιας,19/09/2007,17/12/2007,male
βασιλειος μαντζωρης,υφυπουργος βιομηχανιας ενεργειας και τεχνολογιας,11/04/1990,03/12/1992,male
βασιλειος μαντζωρης,υφυπουργος εμποριου,26/11/1991,03/12/1992,male
βασιλειος μιχαλολιακος,υφυπουργος εθνικης αμυνας,10/03/2004,19/09/2007,male
βασιλειος μπεκιρης,υφυπουργος εθνικης παιδειας και θρησκευματων,11/04/1990,03/12/1992,male
βασιλειος παπαγεωργοπουλος,υφυπουργος πολιτισμου,08/08/1991,03/12/1992,male
βασιλειος σκουρης,υπουργος εσωτερικων,12/10/1989,23/11/1989,male
βασιλειος σκουρης,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,30/08/1996,25/09/1996,male
βασιλικη θανου-χριστοφιλου,πρωθυπουργος,27/08/2015,21/09/2015,female
βασιλικη παπανδρεου (βασω),υπουργος αναπτυξης,01/02/1996,25/09/1996,female
βασιλικη παπανδρεου (βασω),υπουργος τουρισμου βιομηχανιας ενεργειας και τεχνολογιας και εμποριου,22/01/1996,01/02/1996,female
βασιλικη παπανδρεου (βασω),υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,19/02/1999,20/03/2000,female
βασιλικη παπανδρεου (βασω),υπουργος αναπτυξης,25/09/1996,19/02/1999,female
βασιλικη παπανδρεου (βασω),υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,13/04/2000,24/10/2001,female
βασιλικη παπανδρεου (βασω),υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,24/10/2001,10/03/2004,female
βιργινια τσουδερου,υφυπουργος εξωτερικων,08/08/1991,13/10/1993,female
βυρωνας πολυδωρας,υφυπουργος προεδριας της κυβερνησης,11/04/1990,07/08/1992,male
βυρωνας πολυδωρας,υφυπουργος εξωτερικων,03/12/1992,13/10/1993,male
βυρωνας πολυδωρας,υφυπουργος εθνικης παιδειας και θρησκευματων,07/08/1992,03/12/1992,male
βυρωνας πολυδωρας,υπουργος δημοσιας ταξης,15/02/2006,19/09/2007,male
γαβριηλ σακελλαριδης,υφυπουργος στον πρωθυπουργο,27/01/2015,18/07/2015,male
γερασιμος αρσενης,υπουργος εθνικης αμυνας,13/10/1993,22/01/1996,male
γερασιμος αρσενης,υπουργος εθνικης αμυνας,22/01/1996,25/09/1996,male
γερασιμος αρσενης,υπουργος εθνικης παιδειας και θρησκευματων,25/09/1996,13/04/2000,male
γερασιμος γιακουματου,υφυπουργος απασχολησης και κοινωνικης προστασιας,10/03/2004,19/09/2007,male
γερασιμος γιακουματου,υφυπουργος αναπτυξης και ανταγωνιστικοτητας,10/06/2014,27/01/2015,male
γερασιμος θωμας,υφυπουργος περιβαλλοντος και ενεργειας,09/07/2019,27/07/2020,male
γεωργιος αγαπητος,υπουργος οικονομικων,12/10/1989,23/11/1989,male
γεωργιος αγαπητος,υπουργος οικονομικων,13/02/1990,11/04/1990,male
γεωργιος αδαμοπουλος,υφυπουργος εργασιας και κοινωνικων ασφαλισεων,15/09/1995,22/01/1996,male
γεωργιος αδαμοπουλος,υφυπουργος εργασιας,08/07/1994,15/09/1995,male
γεωργιος αλογοσκουφης,υπουργος οικονομιας και οικονομικων,10/03/2004,19/09/2007,male
γεωργιος αλογοσκουφης,υπουργος οικονομιας και οικονομικων,19/09/2007,07/01/2009,male
γεωργιος ανωμεριτης,αναπληρωτης υπουργος εθνικης οικονομιας,15/09/1995,22/01/1996,male
γεωργιος ανωμεριτης,υφυπουργος οικονομικων,22/01/1996,25/09/1996,male
γεωργιος ανωμεριτης,υπουργος γεωργιας,30/10/1998,13/04/2000,male
γεωργιος ανωμεριτης,υπουργος εμπορικης ναυτιλιας,24/10/2001,07/07/2003,male
γεωργιος ανωμεριτης,υπουργος γεωργιας,13/04/2000,24/10/2001,male
γεωργιος βασιλειαδης,υφυπουργος πολιτισμου και αθλητισμου,05/11/2016,09/07/2019,male
γεωργιος βερνικος,υφυπουργος ναυτιλιας,21/06/2012,05/07/2012,male
γεωργιος βλαχος,υφυπουργος αναπτυξης,19/09/2007,07/10/2009,male
γεωργιος βουλγαρακης,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,03/12/1992,13/10/1993,male
γεωργιος βουλγαρακης,υπουργος δημοσιας ταξης,10/03/2004,15/02/2006,male
